timestamp,measured,forecast_panelwise,forecast_provincial,lower_provincial,upper_provincial,elia_forecast
2020-05-07 22:45:00+00:00,0.0,0.8862202318819327,0.2629410920465633,-0.40370342171329604,0.9295856058064228,0.0
2020-05-07 23:15:00+00:00,0.0,0.9399665000215904,0.26227585889195915,-0.4065047127413545,0.9310564305252728,0.0
2020-05-07 23:45:00+00:00,0.0,0.9638063032044736,0.26238011617104,-0.4026830642585831,0.9274432966006628,0.0
2020-05-08 00:15:00+00:00,0.0,0.9129934241682862,0.26437620971258685,-0.4028882635748601,0.9316406830000341,0.0
2020-05-08 00:45:00+00:00,0.0,1.0014624061223385,0.2618692869541303,-0.4089323364659679,0.9326709103742286,0.0
2020-05-08 01:15:00+00:00,0.0,0.9375979763183642,0.2630555671851304,-0.40347574016822935,0.92958687453849,0.0
2020-05-08 01:45:00+00:00,0.0,0.9509446428243048,0.2622607872240869,-0.4067655655261032,0.9312871399742768,0.0
2020-05-08 02:15:00+00:00,0.0,0.9930979265664258,0.2627698952920987,-0.40844485614197856,0.933984646726176,0.0
2020-05-08 02:45:00+00:00,0.0,0.8871741893783549,0.2637617423805458,-0.4047430558821488,0.9322665406432404,0.0
2020-05-08 03:15:00+00:00,0.0,0.8732363337487529,0.2641609297825156,-0.4038515235131512,0.9321733830781824,0.0
2020-05-08 03:45:00+00:00,1.935,0.8969488970573799,0.26216427446090473,-0.4055262629744009,0.9298548118962104,0.0
2020-05-08 04:15:00+00:00,8.334999999999999,1.232296874627556,1.6511325542101294,0.5948265170050071,2.707438591415252,1.94
2020-05-08 04:45:00+00:00,21.465,7.053541916677017,14.18546561871408,11.865701176015346,16.505230061412814,8.805
2020-05-08 05:15:00+00:00,51.205,22.84462115529473,32.664764528397214,27.76699336325261,37.562535693541825,22.235
2020-05-08 05:45:00+00:00,77.345,45.43448616919242,55.431650261336564,47.24381457159103,63.619485951082105,43.035
