timestamp,measured,forecast,lower,upper,elia_forecast
2020-05-04 22:00:00+00:00,194.19,184.2859356068621,110.4412793718232,221.41542864895462,207.7525
2020-05-04 23:00:00+00:00,312.245,239.49346166157608,138.6413110300926,309.35459901020204,249.49
2020-05-05 00:00:00+00:00,373.255,266.1977579391973,155.80484614518724,343.18825999959006,271.815
2020-05-05 01:00:00+00:00,255.245,288.83973180345663,175.00942837235488,369.5209114570681,268.91
2020-05-05 02:00:00+00:00,232.7575,283.33957040763835,148.39202100379225,351.6573849115416,243.2325
2020-05-05 03:00:00+00:00,231.07,279.66838062001364,149.54541040691566,335.4078431970644,219.725
2020-05-05 04:00:00+00:00,214.0675,277.0934413836597,131.31016070887824,316.3411923151672,214.99
2020-05-05 05:00:00+00:00,220.655,264.12892765546917,142.1087033084986,296.0173288627218,210.0525
2020-05-05 06:00:00+00:00,197.6575,200.67772844536427,137.49254836232808,249.70875576499782,208.265
2020-05-05 07:00:00+00:00,189.48,206.74463133616402,127.88715879929771,269.2962540395689,209.00000000000003
2020-05-05 08:00:00+00:00,182.2425,193.72181639224013,145.0527910987264,267.00964082492203,214.91
2020-05-05 09:00:00+00:00,209.87,213.6700843526271,138.19711085655166,249.44853124890565,199.0
2020-05-05 10:00:00+00:00,242.555,220.26947500541985,149.3426441279173,253.5187919581954,197.8475
2020-05-05 11:00:00+00:00,235.7325,226.81968522331903,150.54016668815257,293.39931417997167,190.725
2020-05-05 12:00:00+00:00,213.1025,219.14628379786208,153.01747980490882,284.6437578404532,180.9675
2020-05-05 13:00:00+00:00,179.5775,201.57950441861308,137.34343303910794,242.49929793185024,170.67
2020-05-05 14:00:00+00:00,171.17,181.48106451114955,114.42141502109966,204.48495977591682,165.57
2020-05-05 15:00:00+00:00,158.2925,172.49264384158195,91.55571273248607,191.52766176734355,156.57
2020-05-05 16:00:00+00:00,176.555,126.71635418112996,94.12027963915385,173.7796521893734,158.08499999999995
2020-05-05 17:00:00+00:00,171.75,106.8115340795714,88.95005196033155,202.791967638809,170.2225
2020-05-05 18:00:00+00:00,175.71000000000004,116.18714356498829,86.10700552014912,192.52539863649469,190.4825
2020-05-05 19:00:00+00:00,191.0125,122.249104830421,90.17663520476823,217.5816673565921,204.015
2020-05-05 20:00:00+00:00,234.6525,127.65784401135583,89.06121134333925,203.69371522636158,216.8425
2020-05-05 21:00:00+00:00,266.4875,175.57858660844974,101.81581485815023,215.022567317607,214.5325
2020-05-05 22:00:00+00:00,257.37,186.3679374231432,99.9645129468521,204.00095721228058,202.555
2020-05-05 23:00:00+00:00,249.86,183.1730449423221,90.24352798082776,212.91703516089646,187.87
2020-05-06 00:00:00+00:00,234.465,211.104909868971,91.36639399528885,254.85825032103835,175.36
2020-05-06 01:00:00+00:00,203.51,203.25427531029632,89.20063998284151,252.36585149000848,166.18
2020-05-06 02:00:00+00:00,183.335,193.44936996827823,66.57042635748472,246.01067559174942,185.235
2020-05-06 03:00:00+00:00,184.0475,171.0502759747949,61.18527838170853,204.4771703127237,171.88
2020-05-06 04:00:00+00:00,190.3425,168.85492832715747,61.323494144538,227.43900808929885,154.57500000000005
2020-05-06 05:00:00+00:00,162.82,149.55653074364503,63.26736189788991,204.09471683510728,121.15
2020-05-06 06:00:00+00:00,90.6625,118.53870369180157,63.135726379766645,152.5317088625428,81.6975
2020-05-06 07:00:00+00:00,37.96,75.3419995688389,39.564279089554326,118.43335459871321,52.7675
2020-05-06 08:00:00+00:00,35.055,27.55970438517947,20.11082261676211,80.95907764171187,38.735
2020-05-06 09:00:00+00:00,32.3525,26.81488798654568,11.992616348797009,74.09751667185739,25.515
2020-05-06 10:00:00+00:00,29.347500000000004,15.731863770588676,16.459998205761593,70.0282936605211,20.985
2020-05-06 11:00:00+00:00,20.180000000000003,19.497587586834193,17.916649920674935,68.20093702100819,17.5575
2020-05-06 12:00:00+00:00,17.814999999999994,16.395228045527713,15.45829800537434,76.17338031747462,15.48
2020-05-06 13:00:00+00:00,23.3925,54.5780806825851,20.332213009907363,92.74222130857521,15.065
2020-05-06 14:00:00+00:00,21.1525,59.94644690525406,19.05870853050236,114.40464212591608,22.6325
2020-05-06 15:00:00+00:00,25.28,65.16255185478818,20.207770404494426,114.3244004307225,24.49
2020-05-06 16:00:00+00:00,26.69,53.69398351323789,17.549773381560836,93.05612877799612,29.265
2020-05-06 17:00:00+00:00,44.9225,54.21888367605999,17.46214875250116,69.8108075394211,37.8725
2020-05-06 18:00:00+00:00,54.36,48.90579327124319,20.873189356812166,121.8544540111126,54.545
2020-05-06 19:00:00+00:00,71.0275,48.23143765638557,13.671486067402785,102.39005365008205,76.82750000000001
2020-05-06 20:00:00+00:00,91.195,66.48416976368102,11.441649011119692,108.24688823670608,93.325
2020-05-06 21:00:00+00:00,110.325,56.335860929157256,12.489747975515243,92.51618495751836,97.3
2020-05-06 22:00:00+00:00,115.8225,45.0149340669544,11.47050430984518,66.97625791797215,91.35
2020-05-06 23:00:00+00:00,106.705,43.66950230791828,9.82821767149501,71.22736357688996,81.4225
2020-05-07 00:00:00+00:00,93.72,40.64632618073721,9.064523440879093,59.38572600100108,70.3
2020-05-07 01:00:00+00:00,88.525,36.30778922757413,8.761821636495695,56.64255920664183,58.7625
2020-05-07 02:00:00+00:00,89.1725,26.835601307544174,8.685919732015671,51.933552949107415,70.665
2020-05-07 03:00:00+00:00,61.26750000000001,27.551096250870792,7.769619783385596,49.57057850259451,56.42
2020-05-07 04:00:00+00:00,51.9075,23.173275471483013,7.063490233144335,55.28257977019728,42.94499999999999
